Charging event,Chargepoint ID,Borough,Operator,Plug in Date and Time,Unplug Date and Time,Charge start Date and Time,Charge end Date and Time,Total kWh
49550,6136,Barnet,CityEV,02/07/2021 14:41:34,03/07/2021 14:49:14,02/07/2021 14:41:36,03/07/2021 14:49:12,35.098
49568,6132,Barnet,CityEV,03/07/2021 17:42:28,04/07/2021 19:27:17,03/07/2021 17:42:29,04/07/2021 01:12:47,23.332
49578,6174,Barnet,CityEV,03/07/2021 18:23:38,03/07/2021 21:10:55,03/07/2021 18:23:39,03/07/2021 21:10:42,10.477
49583,6118,Barnet,CityEV,04/07/2021 01:34:24,04/07/2021 09:39:58,04/07/2021 01:34:26,04/07/2021 08:57:01,24.102
49585,6137,Barnet,CityEV,03/07/2021 17:18:41,04/07/2021 03:25:44,03/07/2021 17:18:43,04/07/2021 03:25:29,39.792
49589,6170,Barnet,CityEV,03/07/2021 17:59:41,04/07/2021 05:21:26,03/07/2021 17:59:42,04/07/2021 05:21:23,40.674
49595,6174,Barnet,CityEV,04/07/2021 05:23:11,04/07/2021 08:51:51,04/07/2021 05:23:12,04/07/2021 08:51:44,13.05
49599,6136,Barnet,CityEV,03/07/2021 15:10:27,04/07/2021 09:36:46,03/07/2021 15:10:31,03/07/2021 21:08:37,22.443
49615,6136,Barnet,CityEV,04/07/2021 11:10:08,04/07/2021 11:35:28,04/07/2021 11:10:13,04/07/2021 11:35:21,1.557
49617,6119,Barnet,CityEV,04/07/2021 11:13:39,04/07/2021 14:46:19,04/07/2021 11:13:42,04/07/2021 14:46:17,13.018
49619,6174,Barnet,CityEV,04/07/2021 09:33:13,04/07/2021 11:22:06,04/07/2021 09:33:15,04/07/2021 11:21:59,6.798
49625,6138,Barnet,CityEV,04/07/2021 07:05:19,04/07/2021 12:23:32,04/07/2021 07:05:27,04/07/2021 11:18:48,13.759
49638,6123,Barnet,CityEV,04/07/2021 09:35:04,04/07/2021 13:27:55,04/07/2021 09:35:05,04/07/2021 13:27:53,13.539
49674,6120,Barnet,CityEV,04/07/2021 18:01:10,04/07/2021 20:34:05,04/07/2021 18:01:18,04/07/2021 20:34:02,9.136
49676,6170,Barnet,CityEV,04/07/2021 14:21:31,04/07/2021 18:18:36,04/07/2021 14:21:35,04/07/2021 18:17:59,10.724
49683,6123,Barnet,CityEV,04/07/2021 14:13:20,04/07/2021 19:43:21,04/07/2021 14:13:22,04/07/2021 19:43:19,19.157
49684,6118,Barnet,CityEV,04/07/2021 10:45:09,04/07/2021 19:52:38,04/07/2021 10:45:10,04/07/2021 19:52:30,35.268
49689,6174,Barnet,CityEV,04/07/2021 11:41:32,04/07/2021 20:46:25,04/07/2021 11:41:42,04/07/2021 19:20:39,27.891
49709,6116,Barnet,CityEV,04/07/2021 17:23:54,05/07/2021 07:52:38,04/07/2021 17:23:56,05/07/2021 07:01:20,49.284
49727,6118,Barnet,CityEV,05/07/2021 08:32:29,05/07/2021 09:57:18,05/07/2021 08:32:38,05/07/2021 09:56:54,4.918
49733,6123,Barnet,CityEV,05/07/2021 09:59:50,05/07/2021 10:53:39,05/07/2021 09:59:52,05/07/2021 10:53:25,3.236
49749,6189,Barnet,CityEV,05/07/2021 12:09:53,05/07/2021 12:20:54,05/07/2021 12:09:54,05/07/2021 12:20:51,0.653
49751,6123,Barnet,CityEV,05/07/2021 12:37:50,05/07/2021 16:19:55,05/07/2021 12:37:51,05/07/2021 15:19:23,9.895
49771,6130,Barnet,CityEV,05/07/2021 07:37:30,05/07/2021 14:53:45,05/07/2021 07:37:33,05/07/2021 13:31:33,21.153
49793,6116,Barnet,CityEV,05/07/2021 16:52:21,05/07/2021 19:22:52,05/07/2021 16:52:22,05/07/2021 19:21:39,9.04
49794,6193,Barnet,CityEV,05/07/2021 14:34:34,05/07/2021 17:00:07,05/07/2021 14:34:41,05/07/2021 16:45:37,7.115
49798,6186,Barnet,CityEV,05/07/2021 10:20:53,05/07/2021 17:26:08,05/07/2021 10:20:54,05/07/2021 17:25:57,25.99
49809,6139,Barnet,CityEV,05/07/2021 11:57:39,05/07/2021 21:07:21,05/07/2021 11:57:40,05/07/2021 18:55:30,24.006
49812,6184,Barnet,CityEV,05/07/2021 19:53:29,06/07/2021 04:49:22,05/07/2021 19:53:30,06/07/2021 04:49:20,31.282
49813,6170,Barnet,CityEV,05/07/2021 19:00:11,06/07/2021 05:01:54,05/07/2021 19:00:12,06/07/2021 05:01:47,36.629
49815,6189,Barnet,CityEV,05/07/2021 15:37:28,06/07/2021 05:11:33,05/07/2021 15:37:31,06/07/2021 05:11:31,20.75
49816,6118,Barnet,CityEV,05/07/2021 16:49:27,06/07/2021 06:01:34,05/07/2021 16:50:00,06/07/2021 04:45:28,41.341
49818,6119,Barnet,CityEV,04/07/2021 16:59:48,06/07/2021 07:05:51,04/07/2021 16:59:50,05/07/2021 07:29:30,50.495
49871,6159,Barnet,CityEV,06/07/2021 10:18:17,06/07/2021 13:22:27,06/07/2021 10:18:25,06/07/2021 13:22:07,10.167
49888,6137,Barnet,CityEV,06/07/2021 14:52:44,06/07/2021 17:26:39,06/07/2021 14:52:45,06/07/2021 17:25:21,8.725
49953,6185,Barnet,CityEV,06/07/2021 18:15:51,06/07/2021 21:27:47,06/07/2021 18:15:52,06/07/2021 21:27:45,8.38
49954,6118,Barnet,CityEV,06/07/2021 17:29:57,06/07/2021 21:52:02,06/07/2021 17:29:58,06/07/2021 21:01:33,12.471
49958,6132,Barnet,CityEV,06/07/2021 19:24:43,07/07/2021 03:01:31,06/07/2021 19:24:46,07/07/2021 03:01:29,23.654
49959,6189,Barnet,CityEV,06/07/2021 14:23:27,07/07/2021 05:14:57,06/07/2021 14:23:29,06/07/2021 22:36:49,25.211
49961,6138,Barnet,CityEV,06/07/2021 20:06:19,07/07/2021 05:43:26,06/07/2021 20:06:21,07/07/2021 05:43:23,33.57
49963,6155,Barnet,CityEV,06/07/2021 16:14:38,07/07/2021 06:35:42,06/07/2021 16:14:39,07/07/2021 03:09:02,37.728
50065,6118,Barnet,CityEV,07/07/2021 07:31:11,07/07/2021 15:52:18,07/07/2021 07:31:12,07/07/2021 15:46:12,30.524
50073,6138,Barnet,CityEV,07/07/2021 13:34:24,07/07/2021 16:05:33,07/07/2021 13:34:32,07/07/2021 15:37:42,6.453
50090,6152,Barnet,CityEV,07/07/2021 15:45:44,07/07/2021 16:54:02,07/07/2021 15:45:45,07/07/2021 16:54:00,3.899
50098,6123,Barnet,CityEV,07/07/2021 12:48:40,07/07/2021 17:22:30,07/07/2021 12:48:44,07/07/2021 17:22:22,16.457
50102,6189,Barnet,CityEV,07/07/2021 16:06:57,07/07/2021 17:38:44,07/07/2021 16:06:59,07/07/2021 17:38:42,5.125
50113,6151,Barnet,CityEV,07/07/2021 16:26:02,07/07/2021 19:07:54,07/07/2021 16:26:05,07/07/2021 19:07:52,9.254
50118,6189,Barnet,CityEV,07/07/2021 18:10:46,08/07/2021 05:05:45,07/07/2021 18:10:48,08/07/2021 00:33:48,19.127
50119,6109,Barnet,CityEV,07/07/2021 21:02:40,08/07/2021 05:32:31,07/07/2021 21:02:41,08/07/2021 00:41:48,7.219
50120,6184,Barnet,CityEV,07/07/2021 18:12:20,08/07/2021 06:24:32,07/07/2021 18:12:28,08/07/2021 06:24:28,28.368
50190,6130,Barnet,CityEV,08/07/2021 07:48:36,08/07/2021 14:57:05,08/07/2021 07:48:41,08/07/2021 14:57:03,25.803
50228,6169,Barnet,CityEV,08/07/2021 19:00:26,08/07/2021 20:19:20,08/07/2021 19:00:29,08/07/2021 20:14:18,1.719
50237,6143,Barnet,CityEV,08/07/2021 14:05:01,08/07/2021 19:52:23,08/07/2021 14:05:03,08/07/2021 19:52:11,19.328
50246,6184,Barnet,CityEV,08/07/2021 09:52:21,08/07/2021 21:19:00,08/07/2021 09:52:22,08/07/2021 19:15:57,32.72
50253,6189,Barnet,CityEV,08/07/2021 14:24:51,09/07/2021 06:20:06,08/07/2021 14:24:53,08/07/2021 21:16:04,20.965
50274,6151,Barnet,CityEV,08/07/2021 18:33:38,09/07/2021 08:53:44,08/07/2021 18:33:39,09/07/2021 08:53:42,51.403
50280,6178,Barnet,CityEV,09/07/2021 08:17:56,09/07/2021 09:19:36,09/07/2021 08:17:58,09/07/2021 09:19:34,3.284
50299,6143,Barnet,CityEV,09/07/2021 09:59:53,09/07/2021 11:14:19,09/07/2021 09:59:58,09/07/2021 11:14:12,4.345
50314,6130,Barnet,CityEV,09/07/2021 10:06:51,09/07/2021 12:41:36,09/07/2021 10:06:54,09/07/2021 12:41:23,9.176
50386,6142,Barnet,CityEV,09/07/2021 17:30:24,09/07/2021 19:27:21,09/07/2021 17:30:29,09/07/2021 19:27:15,5.964
50389,6186,Barnet,CityEV,09/07/2021 16:18:06,09/07/2021 19:32:14,09/07/2021 16:18:08,09/07/2021 19:06:17,7.63
50405,6106,Barnet,CityEV,09/07/2021 21:52:31,10/07/2021 07:54:09,09/07/2021 21:52:33,10/07/2021 07:54:05,35.811
50406,6189,Barnet,CityEV,09/07/2021 16:43:11,10/07/2021 08:05:16,09/07/2021 16:43:13,09/07/2021 22:20:39,16.785
50423,6153,Barnet,CityEV,10/07/2021 09:33:02,10/07/2021 10:47:42,10/07/2021 09:33:04,10/07/2021 10:47:13,4.502
50435,6130,Barnet,CityEV,10/07/2021 12:21:15,10/07/2021 12:38:47,10/07/2021 12:21:18,10/07/2021 12:38:43,1.019
50442,6136,Barnet,CityEV,10/07/2021 13:23:37,11/07/2021 07:06:51,10/07/2021 13:23:42,10/07/2021 19:56:28,24.369
50451,6103,Barnet,CityEV,10/07/2021 15:03:47,10/07/2021 15:04:35,10/07/2021 15:03:48,10/07/2021 15:04:31,0.033
50478,6130,Barnet,CityEV,10/07/2021 14:24:26,10/07/2021 18:22:02,10/07/2021 14:24:28,10/07/2021 18:21:59,14.354
50489,6169,Barnet,CityEV,10/07/2021 12:30:34,10/07/2021 20:13:18,10/07/2021 12:30:39,10/07/2021 20:12:52,27.862
50501,6177,Barnet,CityEV,10/07/2021 19:39:00,11/07/2021 06:31:18,10/07/2021 19:39:04,10/07/2021 23:45:58,14.483
50516,6151,Barnet,CityEV,11/07/2021 10:10:19,11/07/2021 22:33:19,11/07/2021 10:10:26,11/07/2021 15:53:02,18.979
50536,6143,Barnet,CityEV,11/07/2021 12:46:14,11/07/2021 18:04:20,11/07/2021 12:46:18,11/07/2021 18:04:18,18.922
50542,6169,Barnet,CityEV,11/07/2021 13:25:51,11/07/2021 15:45:38,11/07/2021 13:25:53,11/07/2021 15:10:31,3.928
50549,6118,Barnet,CityEV,11/07/2021 12:30:47,11/07/2021 14:26:02,11/07/2021 12:30:48,11/07/2021 14:25:58,7.092
50551,6130,Barnet,CityEV,11/07/2021 06:44:52,11/07/2021 14:42:29,11/07/2021 06:44:55,11/07/2021 14:42:25,28.589
50558,6101,Barnet,CityEV,11/07/2021 11:26:29,11/07/2021 16:06:08,11/07/2021 11:26:37,11/07/2021 14:59:48,11.585
50565,6116,Barnet,CityEV,11/07/2021 11:01:00,11/07/2021 16:33:29,11/07/2021 11:01:02,11/07/2021 14:24:52,12.849
50566,6116,Barnet,CityEV,11/07/2021 16:38:13,11/07/2021 19:41:14,11/07/2021 16:38:16,11/07/2021 19:40:27,10.571
50570,6179,Barnet,CityEV,11/07/2021 11:49:03,11/07/2021 17:30:31,11/07/2021 11:49:10,11/07/2021 17:11:24,18.096
50585,6109,Barnet,CityEV,11/07/2021 18:19:47,11/07/2021 21:02:03,11/07/2021 18:19:48,11/07/2021 20:54:55,7.142
50587,6138,Barnet,CityEV,11/07/2021 14:52:48,11/07/2021 23:39:54,11/07/2021 14:52:50,11/07/2021 23:39:50,30.65
50588,6189,Barnet,CityEV,11/07/2021 23:15:17,12/07/2021 05:27:08,11/07/2021 23:15:19,12/07/2021 05:27:05,21.148
50591,6177,Barnet,CityEV,11/07/2021 19:37:05,12/07/2021 06:34:05,11/07/2021 19:37:08,12/07/2021 05:57:10,36.375
50616,6147,Barnet,CityEV,11/07/2021 18:43:46,12/07/2021 08:16:36,11/07/2021 18:43:49,12/07/2021 00:03:29,8.341
50631,6136,Barnet,CityEV,12/07/2021 09:06:25,12/07/2021 10:39:38,12/07/2021 09:06:27,12/07/2021 10:39:36,5.029
50717,6143,Barnet,CityEV,12/07/2021 14:33:50,12/07/2021 21:23:33,12/07/2021 14:33:55,12/07/2021 21:23:31,23.651
50719,6170,Barnet,CityEV,12/07/2021 13:40:32,13/07/2021 05:11:01,12/07/2021 13:40:33,12/07/2021 20:38:40,22.585
50720,6189,Barnet,CityEV,12/07/2021 15:49:37,13/07/2021 05:20:47,12/07/2021 15:49:39,13/07/2021 01:49:35,31.378
50774,6118,Barnet,CityEV,13/07/2021 07:37:38,13/07/2021 11:38:57,13/07/2021 07:37:41,13/07/2021 10:39:41,8.154
50821,6189,Barnet,CityEV,13/07/2021 15:39:18,13/07/2021 15:47:47,13/07/2021 15:39:20,13/07/2021 15:47:45,0.467
50854,6104,Barnet,CityEV,13/07/2021 16:09:33,13/07/2021 18:23:19,13/07/2021 16:09:35,13/07/2021 18:23:06,7.485
50855,6159,Barnet,CityEV,13/07/2021 18:38:21,13/07/2021 19:49:57,13/07/2021 18:38:24,13/07/2021 19:49:54,4.151
50856,6189,Barnet,CityEV,13/07/2021 15:59:28,13/07/2021 18:42:07,13/07/2021 15:59:30,13/07/2021 18:42:05,9.078
50857,6130,Barnet,CityEV,13/07/2021 09:33:34,13/07/2021 18:45:43,13/07/2021 09:33:37,13/07/2021 18:45:35,33.242
50870,6118,Barnet,CityEV,13/07/2021 14:33:14,13/07/2021 22:23:25,13/07/2021 14:33:23,13/07/2021 22:23:09,27.645
50872,6189,Barnet,CityEV,13/07/2021 18:54:08,14/07/2021 05:06:36,13/07/2021 18:54:10,14/07/2021 00:17:48,15.83
50887,6115,Barnet,CityEV,13/07/2021 19:47:12,14/07/2021 07:46:25,13/07/2021 19:47:18,14/07/2021 00:41:10,16.21
50957,6193,Barnet,CityEV,14/07/2021 09:00:11,14/07/2021 11:43:09,14/07/2021 09:00:16,14/07/2021 11:09:42,7.006
50985,6118,Barnet,CityEV,14/07/2021 10:47:30,14/07/2021 13:43:28,14/07/2021 10:47:31,14/07/2021 13:43:13,10.916
50997,6155,Barnet,CityEV,14/07/2021 14:48:34,15/07/2021 06:50:40,14/07/2021 14:48:35,15/07/2021 02:40:47,41.127
50999,6143,Barnet,CityEV,14/07/2021 13:24:32,14/07/2021 14:52:33,14/07/2021 13:24:38,14/07/2021 14:51:22,2.446
51021,6143,Barnet,CityEV,14/07/2021 16:31:21,14/07/2021 22:39:24,14/07/2021 16:32:09,14/07/2021 22:22:41,9.856
51054,6118,Barnet,CityEV,14/07/2021 17:18:44,14/07/2021 20:59:57,14/07/2021 17:18:44,14/07/2021 20:52:39,12.683
51057,6189,Barnet,CityEV,14/07/2021 19:18:54,15/07/2021 05:22:33,14/07/2021 19:18:57,15/07/2021 03:34:40,25.538
51079,6123,Barnet,CityEV,15/07/2021 08:14:31,15/07/2021 09:12:39,15/07/2021 08:14:33,15/07/2021 09:12:36,3.529
51086,6130,Barnet,CityEV,15/07/2021 06:18:41,15/07/2021 10:49:48,15/07/2021 06:18:45,15/07/2021 09:47:18,12.204
51105,6123,Barnet,CityEV,15/07/2021 12:27:20,15/07/2021 13:31:40,15/07/2021 12:27:24,15/07/2021 13:31:34,3.659
51106,6147,Barnet,CityEV,15/07/2021 07:37:42,15/07/2021 13:34:23,15/07/2021 07:37:45,15/07/2021 10:37:08,8.101
51110,6118,Barnet,CityEV,15/07/2021 07:02:42,15/07/2021 14:24:28,15/07/2021 07:02:51,15/07/2021 11:56:16,16.424
51138,6155,Barnet,CityEV,15/07/2021 07:46:27,15/07/2021 17:03:41,15/07/2021 07:46:29,15/07/2021 16:17:32,26.36
51143,6143,Barnet,CityEV,15/07/2021 17:15:34,16/07/2021 11:56:06,15/07/2021 17:15:36,15/07/2021 22:11:24,8.359
51168,6118,Barnet,CityEV,15/07/2021 21:09:52,16/07/2021 09:13:23,15/07/2021 21:09:54,16/07/2021 07:07:37,23.505
51170,6119,Barnet,CityEV,15/07/2021 18:33:42,15/07/2021 22:43:20,15/07/2021 18:33:43,15/07/2021 22:43:15,10.169
51172,6189,Barnet,CityEV,15/07/2021 16:06:11,16/07/2021 05:05:18,15/07/2021 16:06:13,15/07/2021 23:12:24,21.639
51173,6184,Barnet,CityEV,15/07/2021 13:59:45,16/07/2021 05:47:30,15/07/2021 13:59:46,16/07/2021 03:21:28,46.481
51203,6123,Barnet,CityEV,16/07/2021 09:12:04,16/07/2021 13:32:49,16/07/2021 09:12:05,16/07/2021 13:31:23,15.782
51224,6193,Barnet,CityEV,16/07/2021 08:28:29,16/07/2021 12:00:08,16/07/2021 08:28:33,16/07/2021 10:38:18,7.099
51262,6143,Barnet,CityEV,16/07/2021 16:18:16,17/07/2021 10:53:06,16/07/2021 16:18:20,16/07/2021 20:46:13,7.624
51304,6185,Barnet,CityEV,16/07/2021 20:24:41,16/07/2021 21:52:35,16/07/2021 20:24:43,16/07/2021 21:52:35,4.972
51306,6172,Barnet,CityEV,16/07/2021 21:14:46,17/07/2021 08:10:55,16/07/2021 21:14:47,17/07/2021 08:10:32,15.579
51311,6118,Barnet,CityEV,16/07/2021 23:16:49,17/07/2021 10:54:17,16/07/2021 23:16:52,17/07/2021 09:29:10,24.071
51312,6189,Barnet,CityEV,16/07/2021 14:52:55,16/07/2021 23:19:23,16/07/2021 14:52:58,16/07/2021 20:53:13,18.019
51316,6136,Barnet,CityEV,16/07/2021 19:21:19,17/07/2021 07:54:37,16/07/2021 19:21:20,17/07/2021 07:54:34,30.083
51369,6116,Barnet,CityEV,17/07/2021 15:10:57,17/07/2021 17:56:19,17/07/2021 15:10:59,17/07/2021 17:54:53,9.437
51380,6136,Barnet,CityEV,17/07/2021 16:38:16,17/07/2021 18:37:09,17/07/2021 16:38:20,17/07/2021 18:37:02,7.464
51395,6163,Barnet,CityEV,17/07/2021 18:58:16,17/07/2021 19:37:22,17/07/2021 18:58:17,17/07/2021 19:36:57,2.372
51404,6116,Barnet,CityEV,17/07/2021 18:29:10,17/07/2021 21:42:10,17/07/2021 18:29:14,17/07/2021 21:42:06,11.674
51405,6169,Barnet,CityEV,17/07/2021 09:54:19,17/07/2021 22:19:30,17/07/2021 09:55:36,17/07/2021 16:08:17,22.071
51406,6139,Barnet,CityEV,17/07/2021 20:11:17,17/07/2021 23:38:03,17/07/2021 20:11:18,17/07/2021 23:37:49,12.903
51408,6118,Barnet,CityEV,17/07/2021 23:44:49,18/07/2021 10:18:55,17/07/2021 23:44:50,18/07/2021 06:50:48,23.815
51410,6170,Barnet,CityEV,17/07/2021 12:37:13,18/07/2021 05:24:38,17/07/2021 12:37:14,18/07/2021 01:50:31,45.318
51448,6120,Barnet,CityEV,18/07/2021 13:20:34,18/07/2021 17:47:30,18/07/2021 13:20:41,18/07/2021 17:47:30,15.808
51452,6101,Barnet,CityEV,17/07/2021 09:47:26,18/07/2021 13:54:07,17/07/2021 09:47:28,18/07/2021 03:04:23,60.61
51454,6116,Barnet,CityEV,18/07/2021 07:26:56,18/07/2021 14:00:48,18/07/2021 07:26:59,18/07/2021 14:00:19,23.96
51455,6136,Barnet,CityEV,18/07/2021 14:07:04,19/07/2021 09:11:22,18/07/2021 14:07:09,18/07/2021 20:17:23,22.68
51457,6115,Barnet,CityEV,18/07/2021 09:28:14,18/07/2021 14:29:53,18/07/2021 09:28:18,18/07/2021 13:57:48,14.616
51469,6116,Barnet,CityEV,18/07/2021 14:17:11,18/07/2021 16:31:30,18/07/2021 14:17:13,18/07/2021 16:30:15,7.645
51473,6130,Barnet,CityEV,18/07/2021 08:01:56,18/07/2021 16:50:03,18/07/2021 08:01:59,18/07/2021 16:49:47,31.625
51474,6170,Barnet,CityEV,18/07/2021 12:04:56,18/07/2021 17:05:54,18/07/2021 12:04:57,18/07/2021 17:05:51,18.286
51479,6143,Barnet,CityEV,18/07/2021 13:14:02,18/07/2021 18:40:01,18/07/2021 13:14:03,18/07/2021 18:39:59,18.631
51496,6118,Barnet,CityEV,18/07/2021 11:58:51,18/07/2021 20:43:45,18/07/2021 11:58:52,18/07/2021 20:43:39,33.867
51501,6189,Barnet,CityEV,18/07/2021 16:30:00,19/07/2021 05:25:41,18/07/2021 16:30:02,18/07/2021 22:01:24,16.37
51546,6116,Barnet,CityEV,19/07/2021 08:43:13,19/07/2021 10:50:08,19/07/2021 08:43:14,19/07/2021 10:49:58,7.892
51564,6143,Barnet,CityEV,19/07/2021 11:29:14,19/07/2021 20:20:13,19/07/2021 11:29:20,19/07/2021 18:05:17,11.315
51567,6118,Barnet,CityEV,19/07/2021 09:18:13,19/07/2021 11:33:25,19/07/2021 09:18:22,19/07/2021 11:33:12,7.95
51570,6193,Barnet,CityEV,19/07/2021 08:30:19,19/07/2021 11:37:36,19/07/2021 08:30:24,19/07/2021 10:44:06,7.315
51617,6172,Barnet,CityEV,19/07/2021 09:39:56,19/07/2021 13:25:28,19/07/2021 09:39:57,19/07/2021 13:25:26,13.465
51619,6116,Barnet,CityEV,19/07/2021 11:54:47,19/07/2021 14:05:23,19/07/2021 11:54:50,19/07/2021 13:47:02,6.985
51649,6136,Barnet,CityEV,19/07/2021 16:59:02,19/07/2021 18:37:48,19/07/2021 16:59:07,19/07/2021 18:37:12,6.128
51650,6170,Barnet,CityEV,19/07/2021 11:37:32,19/07/2021 16:59:19,19/07/2021 11:37:33,19/07/2021 16:59:16,19.469
51667,6101,Barnet,CityEV,19/07/2021 16:20:07,19/07/2021 18:43:40,19/07/2021 16:20:14,19/07/2021 18:43:28,7.795
51680,6170,Barnet,CityEV,19/07/2021 17:00:53,19/07/2021 20:39:38,19/07/2021 17:00:59,19/07/2021 20:39:05,12.232
51681,6109,Barnet,CityEV,19/07/2021 17:14:58,19/07/2021 20:41:55,19/07/2021 17:14:59,19/07/2021 20:11:42,8.515
51683,6173,Barnet,CityEV,19/07/2021 18:36:14,19/07/2021 20:53:47,19/07/2021 18:36:15,19/07/2021 20:53:45,7.613
51687,6118,Barnet,CityEV,19/07/2021 12:58:28,19/07/2021 21:42:53,19/07/2021 12:58:36,19/07/2021 21:42:43,31.072
51691,6170,Barnet,CityEV,19/07/2021 20:41:00,20/07/2021 05:15:59,19/07/2021 20:41:02,20/07/2021 02:24:36,18.244
51692,6189,Barnet,CityEV,19/07/2021 17:01:57,20/07/2021 05:19:20,19/07/2021 17:01:59,20/07/2021 00:19:24,22.412
51718,6175,Barnet,CityEV,20/07/2021 08:46:06,20/07/2021 11:53:48,20/07/2021 08:46:08,20/07/2021 11:53:46,9.816
51747,6170,Barnet,CityEV,20/07/2021 05:16:50,20/07/2021 10:54:15,20/07/2021 05:16:55,20/07/2021 10:54:08,12.275
51763,6100,Barnet,CityEV,20/07/2021 11:30:08,20/07/2021 11:57:43,20/07/2021 11:30:16,20/07/2021 11:57:38,1.572
51765,6130,Barnet,CityEV,20/07/2021 07:01:42,20/07/2021 12:06:35,20/07/2021 07:01:46,20/07/2021 12:05:59,18.258
51776,6170,Barnet,CityEV,20/07/2021 10:56:02,20/07/2021 13:48:27,20/07/2021 10:56:03,20/07/2021 13:48:21,10.64
51800,6188,Barnet,CityEV,20/07/2021 16:52:20,21/07/2021 08:26:03,20/07/2021 16:52:21,21/07/2021 07:50:43,49.957
51803,6150,Barnet,CityEV,20/07/2021 16:40:13,20/07/2021 17:00:55,20/07/2021 16:40:14,20/07/2021 17:00:45,1.219
51827,6148,Barnet,CityEV,20/07/2021 19:54:07,21/07/2021 00:04:34,20/07/2021 19:54:11,21/07/2021 00:04:14,15.176
