Charging Point Number,Transaction Start,Charge Start,Charge End,Transaction End,Start Wh,End Wh,Total Wh,Connect Time
6132,05/01/2020 15:09:51,05/01/2020 15:09:55,05/01/2020 18:02:57,05/01/2020 18:03:09,63854,74176,10322,173
6143,07/01/2020 19:22:32,07/01/2020 19:22:37,07/01/2020 22:23:07,07/01/2020 22:23:07,59292,70453,11161,180
6132,07/01/2020 17:35:43,07/01/2020 17:35:44,07/01/2020 21:41:03,07/01/2020 21:41:12,74489,89315,14826,245
6139,07/01/2020 21:54:40,07/01/2020 21:54:41,08/01/2020 06:03:49,08/01/2020 06:27:27,138248,165904,27656,512
6118,08/01/2020 22:02:13,08/01/2020 22:02:15,09/01/2020 08:42:53,09/01/2020 09:29:40,185851,210789,24938,687
6136,09/01/2020 09:12:59,09/01/2020 09:13:03,09/01/2020 09:25:24,09/01/2020 10:09:50,5243,6013,770,56
6116,09/01/2020 18:48:57,09/01/2020 18:49:03,09/01/2020 20:59:17,09/01/2020 20:59:54,132550,139323,6773,130
6136,09/01/2020 19:13:10,09/01/2020 19:13:14,09/01/2020 19:46:53,09/01/2020 22:08:55,6058,8149,2091,175
6132,09/01/2020 15:57:43,09/01/2020 15:57:44,09/01/2020 21:32:36,09/01/2020 21:32:41,89529,109630,20101,334
6132,10/01/2020 16:01:43,10/01/2020 16:01:44,10/01/2020 19:50:44,10/01/2020 19:50:49,109721,123425,13704,229
6139,10/01/2020 22:28:10,10/01/2020 22:28:11,11/01/2020 05:51:13,11/01/2020 08:06:12,166221,190800,24579,578
6136,11/01/2020 08:31:35,11/01/2020 08:31:39,11/01/2020 09:11:24,11/01/2020 11:02:49,8321,10844,2523,151
6132,11/01/2020 15:43:35,11/01/2020 15:43:39,11/01/2020 17:15:44,11/01/2020 17:15:53,123523,129037,5514,92
6132,11/01/2020 17:15:56,11/01/2020 17:15:56,11/01/2020 18:23:01,11/01/2020 18:23:15,129037,133097,4060,67
6143,12/01/2020 16:14:07,12/01/2020 16:14:11,12/01/2020 20:50:45,12/01/2020 20:50:45,71013,88110,17097,276
6132,12/01/2020 16:55:09,12/01/2020 16:55:13,12/01/2020 17:08:09,12/01/2020 17:08:13,133216,133966,750,13
6132,12/01/2020 17:08:16,12/01/2020 17:08:20,12/01/2020 17:23:18,12/01/2020 17:23:23,133966,134863,897,15
6132,13/01/2020 15:55:03,13/01/2020 15:55:04,13/01/2020 20:32:02,13/01/2020 20:32:11,134974,151698,16724,277
6146,13/01/2020 22:19:20,13/01/2020 22:19:25,14/01/2020 07:27:58,14/01/2020 07:28:17,3065,25014,21949,548
6143,14/01/2020 19:52:59,14/01/2020 19:53:03,14/01/2020 22:06:29,14/01/2020 22:06:29,88342,96443,8101,133
6132,14/01/2020 17:10:37,14/01/2020 17:10:38,14/01/2020 20:36:58,14/01/2020 20:37:02,151805,164194,12389,206
6106,16/01/2020 09:09:37,16/01/2020 09:09:39,16/01/2020 10:45:47,16/01/2020 10:45:47,865,4465,3600,96
6101,16/01/2020 14:58:57,16/01/2020 14:58:59,16/01/2020 22:02:29,16/01/2020 22:02:29,3344,28531,25187,423
6103,16/01/2020 14:06:42,16/01/2020 14:06:43,16/01/2020 15:58:57,16/01/2020 16:27:38,3387,10587,7200,140
6118,18/01/2020 00:59:15,18/01/2020 00:59:16,18/01/2020 10:12:51,18/01/2020 10:46:38,212016,237530,25514,587
6143,18/01/2020 15:14:49,18/01/2020 15:14:52,18/01/2020 19:00:59,18/01/2020 19:00:59,96882,110967,14085,226
6146,18/01/2020 12:26:31,18/01/2020 12:26:34,18/01/2020 15:01:02,18/01/2020 16:13:02,25553,32930,7377,226
6103,18/01/2020 16:32:53,18/01/2020 16:32:54,18/01/2020 17:37:05,18/01/2020 17:37:14,10829,14902,4073,64
6120,18/01/2020 18:15:27,18/01/2020 18:15:28,18/01/2020 18:38:58,18/01/2020 18:39:00,32507,33849,1342,23
6124,19/01/2020 15:18:04,19/01/2020 15:18:06,19/01/2020 20:43:15,20/01/2020 08:37:25,44636,63600,18964,1039
6103,20/01/2020 13:49:16,20/01/2020 13:49:17,20/01/2020 16:01:31,20/01/2020 16:01:38,15125,23553,8428,132
6118,20/01/2020 20:55:52,20/01/2020 20:55:57,20/01/2020 21:59:18,20/01/2020 21:59:39,237832,241748,3916,63
6103,22/01/2020 17:40:27,22/01/2020 17:40:28,22/01/2020 19:51:52,22/01/2020 19:52:20,23803,32206,8403,131
6143,23/01/2020 19:43:02,23/01/2020 19:43:09,23/01/2020 22:17:23,23/01/2020 22:17:23,111563,120947,9384,154
6143,26/01/2020 17:12:19,26/01/2020 17:12:24,26/01/2020 21:23:47,26/01/2020 21:23:47,121277,136719,15442,251
6103,27/01/2020 13:03:58,27/01/2020 13:03:59,27/01/2020 14:39:43,27/01/2020 14:40:12,38343,44463,6120,96
6119,27/01/2020 13:19:11,27/01/2020 13:19:16,27/01/2020 19:30:44,27/01/2020 19:39:15,41974,61122,19148,380
6143,30/01/2020 20:00:55,30/01/2020 20:01:00,30/01/2020 22:30:28,30/01/2020 22:30:28,137184,146436,9252,149
6136,31/01/2020 08:58:16,31/01/2020 08:58:21,31/01/2020 09:18:06,31/01/2020 09:27:01,13605,14807,1202,28
6143,31/01/2020 20:23:21,31/01/2020 20:23:26,31/01/2020 23:13:36,31/01/2020 23:13:36,146544,157095,10551,170
6118,01/02/2020 03:17:46,01/02/2020 03:17:47,01/02/2020 12:12:52,01/02/2020 12:32:00,243580,267952,24372,554
6148,01/02/2020 16:37:46,01/02/2020 16:37:56,01/02/2020 19:32:20,01/02/2020 19:32:27,36929,46575,9646,174
6130,02/02/2020 12:03:01,02/02/2020 12:03:05,02/02/2020 13:08:46,02/02/2020 13:08:46,6291,10475,4184,65
6143,02/02/2020 13:19:00,02/02/2020 13:19:05,02/02/2020 15:16:00,02/02/2020 15:16:00,157283,164606,7323,117
6167,02/02/2020 13:09:01,02/02/2020 13:09:03,02/02/2020 15:47:35,02/02/2020 15:53:18,0,0,0,164
6118,02/02/2020 20:30:27,02/02/2020 20:30:31,02/02/2020 21:58:00,02/02/2020 21:58:22,268159,273477,5318,87
6167,03/02/2020 20:15:47,03/02/2020 20:15:48,03/02/2020 22:44:47,03/02/2020 22:44:49,0,0,0,149
6193,04/02/2020 09:36:11,04/02/2020 09:36:16,04/02/2020 11:36:55,04/02/2020 11:38:09,886,886,0,121
6107,04/02/2020 10:44:14,04/02/2020 10:44:16,04/02/2020 15:48:45,04/02/2020 15:48:47,5752,23925,18173,304
6118,05/02/2020 01:08:35,05/02/2020 01:08:37,05/02/2020 11:12:50,05/02/2020 11:19:51,273800,298053,24253,611
6146,06/02/2020 14:58:29,06/02/2020 14:58:32,06/02/2020 17:58:12,06/02/2020 17:58:14,35205,43365,8160,179
6143,06/02/2020 20:34:59,06/02/2020 20:35:03,06/02/2020 22:34:25,06/02/2020 22:34:25,165105,172536,7431,119
6107,07/02/2020 14:16:27,07/02/2020 14:16:29,07/02/2020 18:25:26,07/02/2020 18:25:29,24285,38422,14137,249
6124,07/02/2020 19:34:17,07/02/2020 19:34:19,07/02/2020 21:40:46,07/02/2020 21:40:46,65851,73270,7419,126
6143,08/02/2020 12:27:40,08/02/2020 12:27:45,08/02/2020 13:26:52,08/02/2020 13:26:52,172723,176397,3674,59
6143,08/02/2020 14:47:16,08/02/2020 14:47:20,08/02/2020 16:40:41,08/02/2020 16:40:41,176404,183294,6890,113
6143,08/02/2020 18:48:11,08/02/2020 18:48:15,08/02/2020 22:03:37,08/02/2020 22:03:37,183305,195525,12220,195
6124,08/02/2020 18:48:52,08/02/2020 18:48:54,08/02/2020 21:37:58,08/02/2020 21:37:58,73379,83241,9862,169
6143,09/02/2020 13:52:15,09/02/2020 13:52:19,09/02/2020 18:20:30,09/02/2020 18:20:30,195604,211564,15960,268
6159,09/02/2020 15:10:30,09/02/2020 15:10:37,10/02/2020 00:24:40,10/02/2020 05:16:59,2941,2941,0,846
6130,11/02/2020 21:59:51,11/02/2020 21:59:52,11/02/2020 23:00:04,11/02/2020 23:00:22,11612,15454,3842,60
6167,11/02/2020 20:57:40,11/02/2020 20:57:41,11/02/2020 23:34:49,11/02/2020 23:34:52,0,0,0,157
6136,12/02/2020 13:01:20,12/02/2020 13:01:21,12/02/2020 13:49:34,12/02/2020 13:49:44,16265,19214,2949,48
6167,12/02/2020 20:56:55,12/02/2020 20:56:56,12/02/2020 23:33:05,12/02/2020 23:45:36,0,0,0,168
6167,13/02/2020 20:43:09,13/02/2020 20:43:10,13/02/2020 23:15:32,13/02/2020 23:24:32,0,0,0,161
6118,14/02/2020 02:07:30,14/02/2020 02:07:31,14/02/2020 14:13:06,14/02/2020 14:14:25,299174,323075,23901,726
6110,14/02/2020 22:33:49,14/02/2020 22:33:50,15/02/2020 08:16:48,15/02/2020 09:26:09,8923,42232,33309,652
6112,15/02/2020 14:27:30,15/02/2020 14:27:31,15/02/2020 16:48:39,15/02/2020 16:48:41,78064,85963,7899,141
6132,15/02/2020 22:38:25,15/02/2020 22:38:27,15/02/2020 22:54:36,16/02/2020 09:13:19,168188,169217,1029,634
6167,15/02/2020 20:53:14,15/02/2020 20:53:15,15/02/2020 23:28:06,15/02/2020 23:33:31,0,0,0,160
6118,16/02/2020 02:24:42,16/02/2020 02:24:43,16/02/2020 13:42:45,16/02/2020 13:46:30,323509,347566,24057,681
6104,16/02/2020 10:05:54,16/02/2020 10:05:57,16/02/2020 11:07:36,16/02/2020 11:07:38,38304,41854,3550,61
6136,16/02/2020 11:46:17,16/02/2020 11:46:20,16/02/2020 15:12:36,16/02/2020 15:12:36,19684,32131,12447,206
6159,16/02/2020 10:01:51,16/02/2020 10:01:58,16/02/2020 13:35:56,16/02/2020 13:36:01,2941,2941,0,214
6119,17/02/2020 10:07:41,17/02/2020 10:08:18,17/02/2020 11:00:21,18/02/2020 09:34:37,64123,67353,3230,1406
6167,18/02/2020 18:27:53,18/02/2020 18:27:54,19/02/2020 00:15:02,19/02/2020 00:15:18,0,0,0,347
6119,19/02/2020 19:46:56,19/02/2020 19:47:04,19/02/2020 22:47:53,19/02/2020 22:48:04,67564,78638,11074,181
6167,20/02/2020 08:18:45,20/02/2020 08:18:51,20/02/2020 09:52:30,20/02/2020 09:54:06,0,0,0,95
6132,20/02/2020 20:10:48,20/02/2020 20:10:49,20/02/2020 22:18:21,21/02/2020 07:09:14,169777,174597,4820,658
6118,20/02/2020 17:02:15,20/02/2020 17:02:20,20/02/2020 21:03:41,20/02/2020 21:05:16,348298,362356,14058,243
6132,21/02/2020 21:41:48,21/02/2020 21:41:49,22/02/2020 06:52:28,22/02/2020 09:30:18,174669,204895,30226,708
6118,22/02/2020 10:39:15,22/02/2020 10:39:16,22/02/2020 12:02:40,22/02/2020 12:02:43,362660,367594,4934,83
6118,22/02/2020 23:58:14,22/02/2020 23:58:16,23/02/2020 09:42:52,23/02/2020 09:56:21,367840,391862,24022,598
6118,23/02/2020 12:46:16,23/02/2020 12:46:20,23/02/2020 14:35:28,23/02/2020 14:35:44,391879,398578,6699,109
6132,23/02/2020 17:05:50,23/02/2020 17:05:52,23/02/2020 20:10:07,24/02/2020 08:02:39,205053,213436,8383,896
6132,24/02/2020 21:48:35,24/02/2020 21:48:36,25/02/2020 04:33:28,25/02/2020 07:02:23,213508,235138,21630,553
6119,24/02/2020 18:56:11,24/02/2020 18:56:18,25/02/2020 03:27:01,25/02/2020 08:45:57,79305,110905,31600,829
6118,25/02/2020 11:56:07,25/02/2020 11:56:10,25/02/2020 14:19:58,25/02/2020 14:19:58,398972,406213,7241,143
6132,25/02/2020 19:24:40,25/02/2020 19:24:42,26/02/2020 00:09:49,26/02/2020 07:10:43,235205,249582,14377,706
6119,25/02/2020 21:10:46,25/02/2020 21:10:50,26/02/2020 00:49:48,26/02/2020 07:09:43,111000,119306,8306,598
6132,26/02/2020 21:16:30,26/02/2020 21:16:31,27/02/2020 05:20:38,27/02/2020 07:15:04,249656,276037,26381,598
6132,28/02/2020 23:38:11,28/02/2020 23:38:21,29/02/2020 03:29:55,29/02/2020 09:06:01,276255,287244,10989,567
6175,29/02/2020 14:19:55,29/02/2020 14:20:02,29/02/2020 14:25:14,29/02/2020 14:25:14,234748920,234763484,14564,5
6127,29/02/2020 16:14:10,29/02/2020 16:14:11,29/02/2020 16:24:37,29/02/2020 16:24:39,15872,15880,8,10
6136,29/02/2020 20:24:46,29/02/2020 20:24:47,01/03/2020 11:20:10,01/03/2020 11:20:10,33721,37431,3710,895
6132,29/02/2020 21:32:54,29/02/2020 21:32:55,29/02/2020 23:57:26,29/02/2020 23:57:33,287318,296086,8768,144
6130,01/03/2020 12:00:02,01/03/2020 12:00:13,01/03/2020 13:29:32,01/03/2020 13:29:32,17701,23354,5653,89
6136,01/03/2020 12:24:26,01/03/2020 12:24:27,01/03/2020 22:00:15,01/03/2020 22:00:15,37437,40337,2900,575
6132,01/03/2020 18:39:45,01/03/2020 18:40:07,01/03/2020 23:25:07,02/03/2020 06:11:38,296219,309753,13534,691
6132,02/03/2020 21:59:15,02/03/2020 21:59:27,03/03/2020 01:33:00,03/03/2020 07:45:34,309842,319675,9833,586
6136,03/03/2020 19:52:36,03/03/2020 19:52:50,03/03/2020 22:11:43,03/03/2020 22:11:43,40567,48893,8326,139
6132,03/03/2020 21:02:38,03/03/2020 21:02:45,04/03/2020 02:06:24,04/03/2020 07:07:33,319755,335138,15383,604
6147,03/03/2020 21:13:19,03/03/2020 21:13:22,03/03/2020 23:11:32,03/03/2020 23:12:52,29535,36684,7149,119
6132,05/03/2020 18:28:08,05/03/2020 18:28:28,06/03/2020 01:33:55,06/03/2020 07:16:23,335340,357296,21956,768
6147,05/03/2020 21:25:58,05/03/2020 21:26:02,05/03/2020 23:31:01,05/03/2020 23:31:08,36918,44508,7590,125
6132,06/03/2020 21:52:35,06/03/2020 21:52:44,07/03/2020 06:20:50,07/03/2020 08:58:33,357379,384539,27160,665
6118,06/03/2020 19:55:44,06/03/2020 19:55:48,06/03/2020 23:10:47,06/03/2020 23:11:02,408052,420065,12013,195
6124,07/03/2020 14:19:41,07/03/2020 14:19:45,07/03/2020 15:31:07,07/03/2020 15:31:07,86613,90780,4167,71
6136,07/03/2020 19:11:54,07/03/2020 19:11:58,07/03/2020 22:23:54,07/03/2020 22:23:54,49360,61384,12024,192
6118,08/03/2020 11:29:50,08/03/2020 11:29:54,08/03/2020 14:18:26,08/03/2020 14:18:30,420249,430631,10382,168
6132,08/03/2020 14:45:27,08/03/2020 14:45:42,08/03/2020 20:35:17,09/03/2020 08:01:34,384713,402223,17510,1036
6119,08/03/2020 22:19:59,08/03/2020 22:20:06,09/03/2020 07:11:58,09/03/2020 08:50:12,120854,153992,33138,630
6142,09/03/2020 18:22:53,09/03/2020 18:22:54,09/03/2020 22:36:30,09/03/2020 22:36:34,37242,52412,15170,253
6133,11/03/2020 20:09:50,11/03/2020 20:09:56,12/03/2020 06:35:23,12/03/2020 06:35:23,31149,51831,20682,625
6132,11/03/2020 21:31:23,11/03/2020 21:31:24,12/03/2020 01:20:32,12/03/2020 07:13:24,402582,413734,11152,582
6171,11/03/2020 16:13:05,11/03/2020 16:13:07,11/03/2020 21:36:23,11/03/2020 21:40:16,283387706,283399815,12109,327
6174,12/03/2020 13:36:17,12/03/2020 13:36:18,12/03/2020 13:47:07,12/03/2020 13:48:19,272976375,272976376,1,12
6136,12/03/2020 18:42:37,12/03/2020 18:42:45,12/03/2020 21:43:19,12/03/2020 21:43:22,61967,73078,11111,180
6132,12/03/2020 19:54:48,12/03/2020 19:54:59,13/03/2020 01:23:28,13/03/2020 07:09:39,413813,430407,16594,674
6183,13/03/2020 09:01:04,13/03/2020 09:01:07,13/03/2020 11:37:48,13/03/2020 13:25:51,304509713,304516997,7284,264
6132,13/03/2020 21:23:51,13/03/2020 21:24:05,14/03/2020 05:25:39,14/03/2020 09:44:25,430488,456249,25761,740
6156,14/03/2020 06:48:52,14/03/2020 06:48:53,14/03/2020 07:15:43,14/03/2020 07:15:45,2580,4106,1526,26
6142,14/03/2020 10:04:54,14/03/2020 10:04:56,14/03/2020 15:58:08,14/03/2020 15:58:13,52956,74101,21145,353
6169,14/03/2020 10:13:45,14/03/2020 10:13:46,14/03/2020 11:42:15,14/03/2020 11:52:05,273041233,273043186,1953,98
6136,14/03/2020 11:52:32,14/03/2020 11:52:44,14/03/2020 18:43:10,14/03/2020 18:43:14,73269,98767,25498,410
6142,14/03/2020 16:02:45,14/03/2020 16:02:47,14/03/2020 19:37:57,14/03/2020 22:01:06,74102,83776,9674,358
6138,14/03/2020 13:29:59,14/03/2020 13:30:02,14/03/2020 17:10:29,14/03/2020 17:21:13,0,0,0,231
6125,15/03/2020 09:53:08,15/03/2020 09:53:12,15/03/2020 11:20:24,15/03/2020 11:20:43,38976,44427,5451,87
6169,15/03/2020 11:47:04,15/03/2020 11:47:51,15/03/2020 17:09:36,15/03/2020 17:09:38,273043246,273058440,15194,322
6155,15/03/2020 11:01:42,15/03/2020 11:01:43,15/03/2020 17:43:16,15/03/2020 17:43:18,271561265,271568259,6994,401
6142,15/03/2020 17:52:57,15/03/2020 17:52:59,16/03/2020 01:26:02,16/03/2020 07:08:52,83876,107937,24061,795
6136,15/03/2020 18:50:14,15/03/2020 18:50:15,16/03/2020 08:23:19,16/03/2020 08:23:21,98887,102183,3296,813
6125,15/03/2020 18:52:35,15/03/2020 18:52:39,16/03/2020 03:00:42,16/03/2020 08:12:30,44584,75105,30521,799
6103,16/03/2020 10:18:45,16/03/2020 10:18:46,16/03/2020 13:53:18,16/03/2020 14:43:47,50366,61932,11566,265
6103,17/03/2020 10:04:42,17/03/2020 10:04:43,17/03/2020 13:21:14,17/03/2020 13:21:16,62030,72829,10799,196
6155,17/03/2020 18:00:40,17/03/2020 18:00:41,17/03/2020 22:18:06,17/03/2020 22:18:08,271568406,271573133,4727,257
6101,17/03/2020 20:55:50,17/03/2020 20:55:53,17/03/2020 23:30:20,18/03/2020 00:04:35,35785,43032,7247,188
6124,18/03/2020 14:15:32,18/03/2020 14:15:46,18/03/2020 16:18:14,18/03/2020 16:18:14,92116,98217,6101,122
6155,18/03/2020 17:35:59,18/03/2020 17:36:00,18/03/2020 21:58:34,18/03/2020 21:58:36,271573192,271577648,4456,262
6169,19/03/2020 14:41:57,19/03/2020 14:41:59,19/03/2020 16:11:38,19/03/2020 16:48:13,273058690,273061168,2478,126
6132,19/03/2020 19:08:10,19/03/2020 19:08:21,20/03/2020 01:09:25,20/03/2020 07:23:31,456959,475230,18271,735
6187,21/03/2020 13:34:11,21/03/2020 13:34:14,21/03/2020 16:30:30,21/03/2020 16:30:46,2995,12689,9694,176
6187,21/03/2020 16:35:48,21/03/2020 16:35:49,21/03/2020 16:41:19,21/03/2020 16:41:22,12715,12947,232,5
6175,22/03/2020 11:29:39,22/03/2020 11:29:44,22/03/2020 11:29:45,22/03/2020 11:58:54,274471057,274471058,1,29
6132,22/03/2020 11:35:59,22/03/2020 11:36:05,22/03/2020 13:37:59,22/03/2020 20:07:39,475511,479075,3564,511
6169,22/03/2020 13:22:40,22/03/2020 13:22:41,22/03/2020 15:15:37,22/03/2020 15:17:33,273061362,273064826,3464,114
6124,23/03/2020 16:20:00,23/03/2020 16:20:39,23/03/2020 19:21:00,23/03/2020 19:21:00,98827,109312,10485,181
6193,25/03/2020 13:41:23,25/03/2020 13:41:24,25/03/2020 16:02:55,25/03/2020 16:02:58,1694,10309,8615,141
6101,26/03/2020 20:32:12,26/03/2020 20:32:15,26/03/2020 23:00:08,26/03/2020 23:00:11,44090,51558,7468,147
6118,27/03/2020 18:50:20,27/03/2020 18:50:24,27/03/2020 23:00:25,27/03/2020 23:00:42,432960,447195,14235,250
6155,28/03/2020 14:35:53,28/03/2020 14:36:20,28/03/2020 19:58:39,28/03/2020 19:58:41,271578353,271584053,5700,322
6132,31/03/2020 18:20:34,31/03/2020 18:20:39,31/03/2020 20:55:27,01/04/2020 07:04:27,480359,485956,5597,763
6118,31/03/2020 13:28:29,31/03/2020 13:28:33,31/03/2020 18:53:19,31/03/2020 19:07:10,447712,465140,17428,338
6118,01/04/2020 10:22:18,01/04/2020 10:22:25,01/04/2020 12:23:25,01/04/2020 12:23:39,465217,471911,6694,121
6101,01/04/2020 10:18:45,01/04/2020 10:18:48,01/04/2020 12:50:30,01/04/2020 12:50:32,52211,59663,7452,151
6132,02/04/2020 16:44:45,02/04/2020 16:44:46,02/04/2020 22:48:40,03/04/2020 07:08:49,486130,504995,18865,864
6184,03/04/2020 11:26:11,03/04/2020 11:26:17,03/04/2020 11:33:35,03/04/2020 16:18:11,5915,6015,100,292
6118,03/04/2020 11:40:25,03/04/2020 11:40:33,03/04/2020 13:47:26,03/04/2020 16:28:03,472193,477096,4903,287
6142,04/04/2020 14:47:26,04/04/2020 14:47:28,04/04/2020 18:37:33,04/04/2020 18:37:37,115375,129176,13801,230
6101,06/04/2020 15:01:57,06/04/2020 15:02:01,06/04/2020 17:05:50,06/04/2020 17:37:16,67753,73971,6218,155
6120,06/04/2020 15:22:23,06/04/2020 15:22:24,06/04/2020 18:51:34,06/04/2020 18:51:36,49071,61063,11992,209
6142,07/04/2020 18:11:49,07/04/2020 18:11:50,08/04/2020 07:10:02,08/04/2020 08:33:57,129550,150548,20998,862
6118,07/04/2020 18:31:47,07/04/2020 18:31:51,07/04/2020 22:24:07,07/04/2020 22:24:15,477635,491980,14345,232
6169,08/04/2020 19:17:26,08/04/2020 19:18:50,08/04/2020 20:31:27,08/04/2020 20:31:29,273065709,273069751,4042,74
6101,11/04/2020 09:38:10,11/04/2020 09:38:13,11/04/2020 12:26:24,11/04/2020 12:26:26,74527,82067,7540,168
6169,12/04/2020 08:27:09,12/04/2020 08:27:18,12/04/2020 10:00:24,12/04/2020 11:07:10,273069960,273072484,2524,160
6147,14/04/2020 13:18:01,14/04/2020 13:18:06,14/04/2020 15:18:01,14/04/2020 15:18:06,49300,56583,7283,120
6142,14/04/2020 17:20:11,14/04/2020 17:20:12,14/04/2020 23:51:11,15/04/2020 06:04:17,151328,172189,20861,764
6156,15/04/2020 15:47:44,15/04/2020 15:47:48,15/04/2020 18:31:46,15/04/2020 18:32:38,5489,15036,9547,164
6132,16/04/2020 17:43:37,16/04/2020 17:43:38,17/04/2020 02:17:17,17/04/2020 09:13:16,511979,540115,28136,929
6142,16/04/2020 20:55:52,16/04/2020 20:55:54,17/04/2020 07:10:04,17/04/2020 08:22:06,172385,198750,26365,686
6127,18/04/2020 11:52:31,18/04/2020 11:52:32,19/04/2020 12:32:20,19/04/2020 12:32:22,25545,31005,5460,1479
6120,19/04/2020 09:25:46,19/04/2020 09:25:47,19/04/2020 13:32:33,19/04/2020 13:41:54,62651,75913,13262,256
6147,19/04/2020 13:20:21,19/04/2020 13:20:25,19/04/2020 18:22:30,19/04/2020 18:22:35,57178,73720,16542,302
6138,19/04/2020 17:39:06,19/04/2020 17:39:09,19/04/2020 19:41:27,19/04/2020 19:41:29,0,0,0,122
6169,24/04/2020 17:06:36,24/04/2020 17:06:38,24/04/2020 18:40:55,24/04/2020 20:47:58,273072984,273076201,3217,221
6143,25/04/2020 09:53:45,25/04/2020 09:53:50,25/04/2020 17:25:20,25/04/2020 17:25:20,220424,248180,27756,451
6132,25/04/2020 13:42:47,25/04/2020 13:42:49,25/04/2020 20:30:29,26/04/2020 09:49:07,541090,562869,21779,1206
6147,25/04/2020 19:17:21,25/04/2020 19:17:25,25/04/2020 20:02:10,25/04/2020 20:02:16,74428,77085,2657,44
6169,02/05/2020 07:27:48,02/05/2020 07:27:50,02/05/2020 08:55:34,02/05/2020 08:55:34,273076593,273080597,4004,87
6169,02/05/2020 10:46:36,02/05/2020 10:46:38,02/05/2020 12:06:38,02/05/2020 13:35:29,273080603,273082234,1631,168
6153,07/05/2020 12:28:36,07/05/2020 12:28:37,07/05/2020 22:52:15,08/05/2020 10:56:57,282445493,282482946,37453,1348
6171,08/05/2020 08:09:16,08/05/2020 08:09:22,08/05/2020 13:56:53,08/05/2020 13:57:12,283403356,283423186,19830,347
6169,09/05/2020 07:23:29,09/05/2020 07:23:31,09/05/2020 08:28:33,09/05/2020 08:28:35,273082600,273085649,3049,65
6169,09/05/2020 10:42:14,09/05/2020 10:42:16,09/05/2020 11:45:02,09/05/2020 17:51:52,273085657,273086952,1295,429
6147,09/05/2020 17:43:06,09/05/2020 17:43:11,09/05/2020 22:51:59,10/05/2020 00:14:51,78766,96207,17441,391
6132,10/05/2020 12:21:51,10/05/2020 12:21:54,10/05/2020 17:49:09,11/05/2020 09:17:45,579547,596318,16771,1255
6155,10/05/2020 12:20:40,10/05/2020 12:20:41,10/05/2020 17:05:53,10/05/2020 17:05:55,271586699,271591833,5134,285
6125,11/05/2020 09:15:19,11/05/2020 09:15:21,11/05/2020 12:39:53,11/05/2020 12:39:55,85323,95222,9899,204
6132,13/05/2020 05:30:31,13/05/2020 05:30:35,13/05/2020 07:56:21,13/05/2020 07:56:27,596488,605279,8791,145
6120,15/05/2020 14:53:01,15/05/2020 14:53:02,15/05/2020 20:38:27,15/05/2020 20:38:29,78527,98340,19813,345
6136,16/05/2020 12:04:59,16/05/2020 12:05:04,16/05/2020 16:28:09,16/05/2020 16:51:31,108679,124670,15991,286
